Bulan;Inflasi
2013-12-01;0,0838
2014-01-01;0,0822
2014-02-01;0,0775
2014-03-01;0,0732
2014-04-01;0,0725
2014-05-01;0,0732
2014-06-01;0,067
2014-07-01;0,0453
2014-08-01;0,0399
2014-09-01;0,0453
2014-10-01;0,0483
2014-11-01;0,0623
2014-12-01;0,0836
2015-01-01;0,0696
2015-02-01;0,0629
2015-03-01;0,0638
2015-04-01;0,0679
2015-05-01;0,0715
2015-06-01;0,0726
2015-07-01;0,0726
2015-08-01;0,0718
2015-09-01;0,0683
2015-10-01;0,0625
2015-11-01;0,0489
2015-12-01;0,0335
2016-01-01;0,0414
2016-02-01;0,0442
2016-03-01;0,0445
2016-04-01;0,036
2016-05-01;0,0333
2016-06-01;0,0345
2016-07-01;0,0321
2016-08-01;0,0279
2016-09-01;0,0307
2016-10-01;0,0331
2016-11-01;0,0358
2016-12-01;0,0302
2017-01-01;0,0349
2017-02-01;0,0383
2017-03-01;0,0361
2017-04-01;0,0417
2017-05-01;0,0433
2017-06-01;0,0437
2017-07-01;0,0388
2017-08-01;0,0382
2017-09-01;0,0372
2017-10-01;0,0358
2017-11-01;0,033
2017-12-01;0,0361
2018-01-01;0,0325
2018-02-01;0,0318
2018-03-01;0,034
2018-04-01;0,0341
2018-05-01;0,0323
2018-06-01;0,0312
2018-07-01;0,0318
2018-08-01;0,032
2018-09-01;0,0288
2018-10-01;0,0316
2018-11-01;0,0323
2018-12-01;0,0313
2019-01-01;0,0282
2019-02-01;0,0257
2019-03-01;0,0248
2019-04-01;0,0283
2019-05-01;0,0332
2019-06-01;0,0328
2019-07-01;0,0332
2019-08-01;0,0349
2019-09-01;0,0339
2019-10-01;0,0313
2019-11-01;0,03
2019-12-01;0,0272
2020-01-01;0,0268
2020-02-01;0,0298
2020-03-01;0,0296
2020-04-01;0,0267
2020-05-01;0,0219
2020-06-01;0,0196
2020-07-01;0,0154
2020-08-01;0,0132
2020-09-01;0,0142
2020-10-01;0,0144
2020-11-01;0,0159
2020-12-01;0,0168
2021-01-01;0,0155
2021-02-01;0,0138
2021-03-01;0,0137
2021-04-01;0,0142
2021-05-01;0,0168
2021-06-01;0,0133
2021-07-01;0,0152
2021-08-01;0,0159
2021-09-01;0,016
2021-10-01;0,0166
2021-11-01;0,0175
2021-12-01;0,0187
2022-01-01;0,0218
2022-02-01;0,0206
2022-03-01;0,0264
2022-04-01;0,0347
2022-05-01;0,0355
2022-06-01;0,0435
2022-07-01;0,0494
2022-08-01;0,0469
2022-09-01;0,0595
